,enter,candle interval,resistance lines,resistance lines slopes,resistance lines diff,resistance lines diff slopes,resistance lines broke,resistance lines broke slopes,time,exit time,interval short sma,interval long sma,enter short sma slope,enter long sma slope,short long sma difference,enter RSI,positive RSI momentum,negative RSI momentum,RSI change,call or put,exit,price change
30,452.20001220703125,3,0,[],3,"[-0.095001220703125, -0.024993896484375, -0.0016672770182291667]",2,"[-0.170013427734375, -0.008001708984375]",2021-08-31 11:15:00,2021-08-31 11:56:00,9,180,0.0023341426134316457,-0.00036421413274688853,-0.07982490660640451,58.53746330178195,8.814052106495872,1.182337399263254,7.631714707232618,c,452.3299865722656,0.129974365234375
31,452.42999267578125,3,0,[],0,[],0,[],2021-08-31 11:54:00,2021-08-31 12:02:00,9,180,0.00555544252662609,0.0004345628019008372,0.2886142771887421,59.298105021431134,2.9098186599167306,4.44240547046364,-1.5325868105469098,c,452.3299865722656,-0.100006103515625
32,452.32000732421875,3,0,[],4,"[-0.060201009114583336, -0.01874542236328125, -0.016667683919270832, -0.01251220703125]",2,"[-0.040008544921875, -0.023335774739583332]",2021-08-31 12:24:00,2021-08-31 12:50:00,9,180,-0.0065367522080325416,8.099728470875157e-05,0.1737434900678636,54.73344372033164,7.350023570348853,0.0,7.350023570348853,c,452.30999755859375,-0.010009765625
33,451.6499938964844,3,7,"[-0.016672770182291668, -0.0162506103515625, -0.01600341796875, -0.0160003662109375, -0.015997314453125, -0.0149993896484375, -0.0007699819711538461]",4,"[-0.100006103515625, -0.087615966796875, -0.07652500697544642, -0.05499267578125]",5,"[-0.02764713062959559, -0.026667277018229168, -0.017140706380208332, -0.01659217247596154, -0.010009765625]",2021-08-31 13:39:00,2021-08-31 14:08:00,9,180,-0.018629964192708334,-0.0011866100675736865,-0.4274770314050329,36.00273377928664,13.917778670528051,0.24774522938382404,13.670033441144227,c,451.6549987792969,0.0050048828125
34,451.70001220703125,3,11,"[-0.0213897705078125, -0.020311279296875, -0.019921439034598216, -0.016672770182291668, -0.0162506103515625, -0.01600341796875, -0.0160003662109375, -0.015997314453125, -0.0149993896484375, -0.010898844401041666, -0.0007699819711538461]",0,[],0,[],2021-08-31 14:21:00,2021-08-31 14:32:00,9,180,-0.003519354926215278,-0.0008717782950649659,-0.33551545981754316,45.066128000922376,1.3295840263294423,0.0,1.3295840263294423,c,451.6099853515625,-0.09002685546875
35,451.739990234375,3,8,"[-0.016672770182291668, -0.0162506103515625, -0.01600341796875, -0.0160003662109375, -0.015997314453125, -0.0149993896484375, -0.010898844401041666, -0.0007699819711538461]",11,"[-0.020357404436383928, -0.020344701306573277, -0.020311279296875, -0.019989013671875, -0.019921439034598216, -0.019705379710477942, -0.019696784741950756, -0.01945949245143581, -0.019444783528645832, -0.018022325303819444, -0.0177764892578125]",6,"[-0.016672770182291668, -0.0162506103515625, -0.01600341796875, -0.0160003662109375, -0.015997314453125, -0.010898844401041666]",2021-08-31 14:30:00,2021-08-31 14:41:00,9,180,-0.0033513952175983123,-0.0008805223093885515,-0.35576549227278065,49.02305656954564,8.996407956098771,3.9724449348292126,5.023963021269559,c,451.69000244140625,-0.04998779296875
36,451.70001220703125,3,8,"[-0.015525054931640626, -0.015500023251488096, -0.015431996938344595, -0.015343666076660156, -0.0149993896484375, -0.008395724826388888, -0.005266825358072917, -0.0007699819711538461]",0,[],0,[],2021-08-31 14:39:00,2021-08-31 14:47:00,9,180,0.004332252788460917,-0.0007771989951531092,-0.30980184597433436,46.813767217951714,0.6485147113960252,5.55812159620173,-4.909606884805704,c,451.5450134277344,-0.154998779296875
37,451.8399963378906,3,1,[-0.0007699819711538461],10,"[-0.04449462890625, -0.037799072265625, -0.033335367838541664, -0.015525054931640626, -0.015500023251488096, -0.015431996938344595, -0.015343666076660156, -0.0149993896484375, -0.008395724826388888, -0.005266825358072917]",0,[],2021-08-31 14:57:00,2021-08-31 15:08:00,9,180,-0.0013885498072745072,-0.0009456642592946689,-0.3509248352050349,56.17240873031007,13.155321552211959,0.0,13.155321552211959,c,451.5899963378906,-0.25
38,451.39990234375,3,5,"[-0.0122003173828125, -0.012083689371744791, -0.011777750651041667, -0.01125030517578125, -0.0007699819711538461]",1,[-0.041697184244791664],4,"[-0.0122003173828125, -0.012083689371744791, -0.011777750651041667, -0.01125030517578125]",2021-08-31 15:33:00,2021-08-31 16:02:00,9,180,-0.011649463793987201,-0.0014816315663564537,-0.565567931644523,45.07891764298971,5.259859978575491,0.0,5.259859978575491,c,451.6199951171875,0.2200927734375
39,452.45001220703125,3,0,[],1,[-0.08333333333333333],0,[],2021-09-01 09:45:00,2021-09-01 09:59:00,9,180,-0.008490858935854502,0.00042593545383877223,0.11231881277905131,66.4891530357416,5.290974381473944,0.0,5.290974381473944,c,452.07000732421875,-0.3800048828125
40,452.57000732421875,3,0,[],1,[-0.57501220703125],0,[],2021-09-01 10:00:00,2021-09-01 10:08:00,9,180,-0.009811509871441457,0.00030298190605309276,0.02200267973393011,61.405994910206495,10.95177393658615,1.6874379996863311,9.264335936899819,c,452.3500061035156,-0.220001220703125
41,452.3900146484375,3,1,[-0.015004475911458334],1,[-0.1074981689453125],0,[],2021-09-01 10:12:00,2021-09-01 10:20:00,9,180,0.0010299117459605137,0.00043266901694652106,0.024790489560189144,56.59898167633621,2.171569651022544,2.214827377751604,-0.0432577267290597,c,452.2300109863281,-0.160003662109375
42,452.32269287109375,3,1,[-0.015004475911458334],6,"[-0.04357038225446429, -0.040462493896484375, -0.03351939808238636, -0.033335367838541664, -0.0296783447265625, -0.018707275390625]",0,[],2021-09-01 10:30:00,2021-09-01 10:38:00,9,180,0.0008715594239119026,0.0002820063175426589,-0.053975306919653576,54.806824665215295,1.9264930884659321,0.5819110860031742,1.344582002462758,c,452.2200012207031,-0.102691650390625
43,452.4599914550781,3,0,[],4,"[-0.0274993896484375, -0.024615948016826924, -0.015004475911458334, -0.011667887369791666]",2,"[-0.012001546223958333, -0.011250813802083334]",2021-09-01 10:36:00,2021-09-01 11:05:00,9,180,-0.0030360469128936527,0.0003207064854602019,-0.053215726337725755,57.814602487918556,6.217159745921862,3.2093819232186007,3.007777822703261,c,452.3949890136719,-0.06500244140625
44,452.510009765625,3,0,[],1,[-0.1802978515625],0,[],2021-09-01 11:06:00,2021-09-01 11:17:00,9,180,0.002368955257245236,0.0004778122684607903,0.11096499294711748,55.54418260284715,7.590189811414767,4.489047606876959,3.1011422045378083,c,452.42999267578125,-0.08001708984375
45,452.42999267578125,3,1,[-0.00374603271484375],3,"[-0.08502197265625, -0.0825042724609375, -0.0816650390625]",0,[],2021-09-01 11:30:00,2021-09-01 11:50:00,9,180,-0.006481594506961604,0.0001713453817905651,-0.010439792209240295,53.27859016667866,9.411629647730678,0.0,9.411629647730678,c,452.30999755859375,-0.1199951171875
46,452.44000244140625,3,1,[-0.00374603271484375],2,"[-0.035003662109375, -0.010555691189236112]",0,[],2021-09-01 11:51:00,2021-09-01 12:02:00,9,180,0.0038451018122335275,0.00030375550138867565,0.00787237548831854,53.41714688334896,5.030017121926498,0.0,5.030017121926498,c,452.3699951171875,-0.07000732421875
47,452.4750061035156,3,1,[-0.00374603271484375],3,"[-0.007000732421875, -0.0063155324835526315, -0.0016682942708333333]",4,"[-0.029998779296875, -0.00374603271484375, -0.001064219373337766, -0.00011374733664772727]",2021-09-01 12:00:00,2021-09-01 13:14:00,9,180,0.0033336498127836322,0.0004114420282550984,0.01803960406590477,54.48690442082758,4.2169039746101475,3.526767693854822,0.6901362807553255,c,452.8800048828125,0.404998779296875
48,452.9200134277344,3,1,[-0.012451171875],2,"[-0.024993896484375, -0.016632080078125]",1,[-0.012451171875],2021-09-01 13:12:00,2021-09-01 13:23:00,9,180,0.00637026186256359,0.0011976236011832953,0.4624062093098473,63.1808303297697,2.1330232799645827,4.398811373638509,-2.265788093673926,c,452.9150085449219,-0.0050048828125
49,452.9800109863281,3,0,[],2,"[-0.006647745768229167, -0.00374603271484375]",1,[-0.05999755859375],2021-09-01 13:21:00,2021-09-01 13:50:00,9,180,0.00279665346412609,0.001211417706993719,0.47139231654574587,65.90362666069791,3.6483668060981955,1.4593055647861917,2.189061241312004,c,453.0,0.019989013671875
50,453.0299987792969,3,0,[],3,"[-0.029998779296875, -0.0260009765625, -0.023335774739583332]",0,[],2021-09-01 13:57:00,2021-09-01 14:08:00,9,180,-0.0002976028998899791,0.0012544492699412837,0.5045493910047867,61.45493893888224,5.451553808912706,0.0,5.451553808912706,c,452.989990234375,-0.040008544921875
51,452.385009765625,3,2,"[-0.02249908447265625, -0.007488250732421875]",3,"[-0.05644444056919643, -0.055565728081597224, -0.052490234375]",0,[],2021-09-01 14:54:00,2021-09-01 15:02:00,9,180,-0.016981449831898015,-3.814018952349822e-05,-0.1636653297060775,34.88672134085863,5.8624602655140166,1.3546225083833008,4.507837757130716,c,452.3450012207031,-0.040008544921875
52,452.2799987792969,3,3,"[-0.02249908447265625, -0.01624298095703125, -0.007488250732421875]",2,"[-0.06333414713541667, -0.041825727982954544]",2,"[-0.02249908447265625, -0.01624298095703125]",2021-09-01 15:12:00,2021-09-01 15:29:00,9,180,-0.010981128833049702,-0.00048742304142150616,-0.2914041718984208,41.189229251267825,18.887894176741746,0.0,18.887894176741746,c,452.19500732421875,-0.084991455078125
